Waypoint X,Waypoint Y
15,27.2727
15,26.2626
15,25.2525
15,24.2424
15,23.2323
15,22.2222
15,21.2121
15,20.202
15,19.1919
15,18.1818
15,17.1717
15,16.1616
15,15.1515
15,14.1414
15,13.1313
15,12.1212
15,11.1111
15,10.101
15,9.09091
15,8.08081
15,7.07071
15,6.06061
15,5.05051
15,4.0404
15,3.0303
15,2.0202
15,1.0101
15,0
15,0
15.0341,-0.411486
15.1355,-0.811749
15.3013,-1.18987
15.5271,-1.53553
15.8068,-1.83931
16.1326,-2.09292
16.4958,-2.28943
16.8863,-2.4235
17.2936,-2.49146
17.7064,-2.49146
18.1137,-2.4235
18.5042,-2.28943
18.8674,-2.09292
19.1932,-1.83931
19.4729,-1.53553
19.6987,-1.18987
19.8645,-0.811749
19.9659,-0.411486
20,-3.06E-16
20,0
20,1.0101
20,2.0202
20,3.0303
20,4.0404
20,5.05051
20,6.06061
20,7.07071
20,8.08081
20,9.09091
20,10.101
20,11.1111
20,12.1212
20,13.1313
20,14.1414
20,15.1515
20,16.1616
20,17.1717
20,18.1818
20,19.1919
20,20.202
20,21.2121
20,22.2222
20,23.2323
20,24.2424
20,25.2525
20,26.2626
20,27.2727
20,28.2828
20,29.2929
20,30.303
20,31.3131
20,32.3232
20,33.3333
20,34.3434
20,35.3535
20,36.3636
20,37.3737
20,38.3838
20,39.3939
20,40.404
20,41.4141
20,42.4242
20,43.4343
20,44.4444
20,45.4545
20,46.4646
20,47.4747
20,48.4848
20,49.4949
20,50.5051
20,51.5152
20,52.5253
20,53.5354
20,54.5455
20,55.5556
20,56.5657
20,57.5758
20,58.5859
20,59.596
20,60.6061
20,61.6162
20,62.6263
20,63.6364
20,64.6465
20,65.6566
20,66.6667
20,67.6768
20,68.6869
20,69.697
20,70.7071
20,71.7172
20,72.7273
20,73.7374
20,74.7475
20,75.7576
20,76.7677
20,77.7778
20,78.7879
20,79.798
20,80.8081
20,81.8182
20,82.8283
20,83.8384
20,84.8485
20,85.8586
20,86.8687
20,87.8788
20,88.8889
20,89.899
20,90.9091
20,91.9192
20,92.9293
20,93.9394
20,94.9495
20,95.9596
20,96.9697
20,97.9798
20,98.9899
20,100
